CH,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,,CH,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,Cons
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,,EU,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,Cons
coal,159.7224477,135.0246421,169.3471022,450.4971678,384.8321085,1047.420036,4874.171416,1772.045616,8397.417203,23381.77218,205.0711621,333.7359308,83.03928696,396.0997951,480.1837366,42270.37983,6520.139053,27317.88478,1830.843707,23303.47781,-25487.04107,,coal,0.159722448,0.135024642,0.169347102,0.450497168,0.384832108,1.047420036,4.874171416,1.772045616,8.397417203,23.38177218,0.205071162,0.333735931,0.083039287,0.396099795,0.480183737,42.27037983,6.520139053,27.31788478,1.830843707,23.30347781,-25.48704107,48.79051888
crude,1.024979297,9.929949138,4.489544152,0,2.737255451,0,261998.9686,2.415369622,0,0,0,0,0,0,0,262019.5656,0,188996.1194,5029.598789,78053.045,-183966.5206,,crude,0.001024979,0.009929949,0.004489544,0,0.002737255,0,261.9989686,0.00241537,0,0,0,0,0,0,0,262.0195656,0,188.9961194,5.029598789,78.053045,-183.9665206,262.0195656
natgas,586.7650434,3846.696763,2155.078483,26.12255735,1352.483904,1228.81297,771.5889296,6539.277756,3039.220206,104588.6742,679.5989141,422.9426736,210.043575,284.7522896,334.4008845,126066.4591,6822.537399,87635.83822,3114.603326,48367.76165,-84521.23489,,natgas,0.586765043,3.846696763,2.155078483,0.026122557,1.352483904,1.22881297,0.77158893,6.539277756,3.039220206,104.5886742,0.679598914,0.422942674,0.210043575,0.28475229,0.334400885,126.0664591,6.822537399,87.63583822,3.114603326,48.36776165,-84.52123489,132.8889965
agr,29.78219463,62.73323487,38.98633373,79875.4353,52.32278989,273989.1321,331.5020675,4477.244475,2107.70005,1225.300149,4197.892966,30015.51475,1539.823655,3813.181856,12637.91175,414394.4637,281488.4549,71826.79604,33705.31351,657761.4361,-38121.48253,,agr,0.029782195,0.062733235,0.038986334,79.8754353,0.05232279,273.9891321,0.331502067,4.477244475,2.10770005,1.225300149,4.197892966,30.01551475,1.539823655,3.813181856,12.63791175,414.3944637,281.4884549,71.82679604,33.70531351,657.7614361,-38.12148253,695.8829186
mine,533.2939031,848.944522,776.2047926,894.1284807,2384.916859,2169.77331,3818.989953,21360.93255,40937.16864,4777.231861,18657.66092,2347.924021,1145.093896,2027.368741,1676.494752,104356.1272,2638.53317,52036.04673,15233.44223,70192.05587,-36802.6045,,mine,0.533293903,0.848944522,0.776204793,0.894128481,2.384916859,2.16977331,3.818989953,21.36093255,40.93716864,4.777231861,18.65766092,2.347924021,1.145093896,2.027368741,1.676494752,104.3561272,2.63853317,52.03604673,15.23344223,70.19205587,-36.8026045,106.9946604
man1,153.9444918,273.3234618,234.0059482,49094.63225,558.2717354,416728.8669,3385.604089,40862.80469,82133.76933,4892.459099,52279.38657,212442.5381,14697.22047,98747.74506,102432.5763,1078917.148,1211918.898,298181.4594,315002.38,2307656.967,16820.92058,,man1,0.153944492,0.273323462,0.234005948,49.09463225,0.558271735,416.7288669,3.385604089,40.86280469,82.13376933,4.892459099,52.27938657,212.4425381,14.69722047,98.74774506,102.4325763,1078.917148,1211.918898,298.1814594,315.00238,2307.656967,16.82092058,2290.836046
ref,322.391145,473.2326084,412.4312968,21169.03078,1468.926147,14708.4038,92095.20771,54948.3124,27011.59387,23928.94636,21914.54014,47212.77648,97621.64344,28504.23875,32729.4296,464521.1045,281220.2548,126629.4749,97215.34979,716327.2343,-29414.12507,,ref,0.322391145,0.473232608,0.412431297,21.16903078,1.468926147,14.7084038,92.09520771,54.9483124,27.01159387,23.92894636,21.91454014,47.21277648,97.62164344,28.50423875,32.7294296,464.5211045,281.2202548,126.6294749,97.21534979,716.3272343,-29.41412507,745.7413593
